Frequency_kHz,Benchmark,Francis_BEM_TS,Francis_Series_TS,Horne_KRM_TS,Jones_PTDWBA_TS
12,-99.15,-99.14,-99.15,-96.19,-99.21
14,-96.79,-96.77,-96.79,-95.75,-96.84
16,-94.83,-94.81,-94.83,-95.1,-94.89
18,-93.2,-93.19,-93.2,-94.27,-93.26
20,-91.85,-91.83,-91.85,-93.33,-91.9
22,-90.73,-90.71,-90.73,-92.38,-90.77
24,-89.81,-89.8,-89.81,-91.47,-89.85
26,-89.08,-89.07,-89.08,-90.66,-89.12
28,-88.53,-88.52,-88.53,-89.96,-88.57
30,-88.14,-88.14,-88.14,-89.39,-88.18
32,-87.92,-87.92,-87.92,-88.95,-87.95
34,-87.86,-87.86,-87.86,-88.65,-87.89
36,-87.96,-87.97,-87.96,-88.49,-88
38,-88.25,-88.26,-88.25,-88.48,-88.28
40,-88.73,-88.74,-88.73,-88.61,-88.77
42,-89.43,-89.44,-89.43,-88.91,-89.47
44,-90.39,-90.41,-90.39,-89.36,-90.45
46,-91.68,-91.72,-91.68,-90,-91.77
48,-93.43,-93.48,-93.43,-90.84,-93.55
50,-95.86,-95.93,-95.86,-91.88,-96.05
52,-99.52,-99.63,-99.52,-93.14,-99.86
54,-106.34,-106.57,-106.34,-94.56,-107.23
56,-118.79,-118.05,-118.79,-95.98,-116.09
58,-103.29,-103.16,-103.29,-96.96,-102.63
60,-98.11,-98.04,-98.11,-96.98,-97.71
62,-95.04,-95.01,-95.04,-96.05,-94.74
64,-92.95,-92.93,-92.95,-94.71,-92.71
66,-91.44,-91.44,-91.44,-93.36,-91.25
68,-90.35,-90.35,-90.35,-92.19,-90.19
70,-89.57,-89.58,-89.57,-91.24,-89.44
72,-89.06,-89.08,-89.06,-90.51,-88.95
74,-88.77,-88.8,-88.77,-89.99,-88.7
76,-88.71,-88.75,-88.71,-89.67,-88.67
78,-88.86,-88.9,-88.86,-89.54,-88.85
80,-89.22,-89.28,-89.22,-89.59,-89.26
82,-89.83,-89.9,-89.83,-89.83,-89.92
84,-90.72,-90.8,-90.72,-90.27,-90.87
86,-91.94,-92.03,-91.94,-90.91,-92.18
88,-93.6,-93.72,-93.6,-91.78,-93.97
90,-95.93,-96.09,-95.93,-92.89,-96.51
92,-99.41,-99.64,-99.41,-94.26,-100.41
94,-105.69,-106.15,-105.69,-95.86,-108.1
96,-124.58,-123.33,-124.58,-97.5,-115.17
98,-104.41,-104.15,-104.41,-98.61,-102.7
100,-98.86,-98.87,-98.86,-98.5,-97.94
102,-95.67,-95.67,-95.67,-97.29,-95.05
104,-93.52,-93.52,-93.52,-95.72,-93.08
106,-91.98,-91.98,-91.98,-94.25,-91.67
108,-90.88,-90.88,-90.88,-93.02,-90.66
110,-90.1,-90.1,-90.1,-92.06,-89.97
112,-89.6,-89.6,-89.6,-91.34,-89.54
114,-89.34,-89.34,-89.34,-90.84,-89.35
116,-89.31,-89.3,-89.31,-90.55,-89.39
118,-89.5,-89.49,-89.5,-90.46,-89.65
120,-89.92,-89.91,-89.92,-90.56,-90.15
122,-90.59,-90.58,-90.59,-90.86,-90.91
124,-91.57,-91.55,-91.57,-91.37,-92
126,-92.91,-92.89,-92.91,-92.1,-93.48
128,-94.75,-94.73,-94.75,-93.1,-95.53
130,-97.38,-97.35,-97.38,-94.4,-98.49
132,-101.47,-101.43,-101.47,-96.08,-103.34
134,-109.92,-109.83,-109.92,-98.23,-115.98
136,-113.48,-113.61,-113.48,-100.89,-108.83
138,-102.73,-102.81,-102.73,-103.49,-101.23
140,-98.23,-98.26,-98.23,-103.89,-97.42
142,-95.47,-95.48,-95.47,-101.73,-94.98
144,-93.58,-93.58,-93.58,-99.27,-93.27
146,-92.23,-92.23,-92.23,-97.29,-92.05
148,-91.27,-91.27,-91.27,-95.81,-91.2
150,-90.63,-90.61,-90.63,-94.73,-90.64
152,-90.25,-90.24,-90.25,-93.99,-90.33
154,-90.11,-90.1,-90.11,-93.53,-90.26
156,-90.2,-90.19,-90.2,-93.33,-90.41
158,-90.52,-90.51,-90.52,-93.38,-90.8
160,-91.09,-91.07,-91.09,-93.68,-91.43
162,-91.94,-91.92,-91.94,-94.24,-92.36
164,-93.13,-93.1,-93.13,-95.1,-93.64
166,-94.75,-94.72,-94.75,-96.32,-95.38
168,-97.01,-96.98,-97.01,-98.03,-97.83
170,-100.35,-100.29,-100.35,-100.45,-101.52
172,-106.14,-106.05,-106.14,-104.09,-108.42
174,-127.86,-128.25,-127.86,-110.16,-121.4
176,-106.93,-107.01,-106.93,-112.55,-105.38
178,-100.94,-100.97,-100.94,-105.6,-100.25
180,-97.63,-97.64,-97.63,-101.32,-97.25
182,-95.45,-95.44,-95.45,-98.54,-95.23
184,-93.93,-93.9,-93.93,-96.58,-93.8
186,-92.85,-92.86,-92.85,-95.15,-92.8
188,-92.12,-92.12,-92.12,-94.1,-92.12
190,-91.67,-91.66,-91.67,-93.35,-91.71
192,-91.47,-91.45,-91.47,-92.85,-91.54
194,-91.51,-91.48,-91.51,-92.58,-91.6
196,-91.77,-91.78,-91.77,-92.51,-91.9
198,-92.28,-92.27,-92.28,-92.64,-92.43
200,-93.05,-93.03,-93.05,-92.98,-93.23
202,-94.14,-94.1,-94.14,-93.54,-94.35
204,-95.61,-95.58,-95.61,-94.34,-95.86
206,-97.62,-97.59,-97.62,-95.44,-97.94
208,-100.49,-100.44,-100.49,-96.9,-100.93
210,-105.05,-104.99,-105.05,-98.87,-105.76
212,-115.48,-115.37,-115.48,-101.59,-117.86
214,-113.18,-112.49,-113.18,-105.62,-111.81
216,-104.58,-104.53,-104.58,-111.62,-104.1
218,-100.57,-100.66,-100.57,-110.6,-100.31
220,-98.06,-98.07,-98.06,-105,-97.9
222,-96.34,-96.31,-96.34,-101.4,-96.25
224,-95.14,-95.2,-95.14,-98.98,-95.1
226,-94.31,-94.34,-94.31,-97.25,-94.31
228,-93.78,-93.8,-93.78,-96,-93.82
230,-93.52,-93.52,-93.52,-95.1,-93.6
232,-93.48,-93.48,-93.48,-94.48,-93.61
234,-93.68,-93.67,-93.68,-94.09,-93.87
236,-94.11,-94.09,-94.11,-93.93,-94.37
238,-94.79,-94.68,-94.79,-93.97,-95.13
240,-95.75,-95.74,-95.75,-94.21,-96.21
242,-97.05,-97.04,-97.05,-94.66,-97.69
244,-98.81,-98.84,-98.81,-95.35,-99.7
246,-101.23,-101.17,-101.23,-96.3,-102.58
248,-104.81,-104.88,-104.81,-97.58,-107.14
250,-111.12,-111.05,-111.12,-99.31,-117.62
252,-125.18,-123.22,-125.18,-101.67,-115.31
254,-110.02,-110.34,-110.02,-105.13,-106.7
256,-104.67,-104.79,-104.67,-110.77,-102.71
258,-101.62,-101.66,-101.62,-115.89,-100.22
260,-99.6,-99.59,-99.6,-108.74,-98.52
262,-98.2,-98.27,-98.2,-104.05,-97.35
264,-97.23,-97.27,-97.23,-101.09,-96.55
266,-96.59,-96.62,-96.59,-99.03,-96.06
268,-96.23,-96.25,-96.23,-97.54,-95.83
270,-96.12,-96.13,-96.12,-96.44,-95.84
272,-96.24,-96.23,-96.24,-95.66,-96.09
274,-96.59,-96.65,-96.59,-95.12,-96.59
276,-97.19,-97.14,-97.19,-94.82,-97.34
278,-98.05,-98.1,-98.05,-94.72,-98.4
280,-99.23,-99.1,-99.23,-94.83,-99.82
282,-100.82,-100.7,-100.82,-95.15,-101.75
284,-102.97,-102.84,-102.97,-95.71,-104.43
286,-106.02,-105.91,-106.02,-96.53,-108.5
288,-110.93,-110.72,-110.93,-97.67,-116.48
290,-122.89,-122.25,-122.89,-99.23,-123.02
292,-117.03,-116.92,-117.03,-101.42,-111.06
294,-109.49,-109.63,-109.49,-104.66,-106.52
296,-105.8,-106.08,-105.8,-110.21,-103.84
298,-103.5,-103.65,-103.5,-120.13,-102.07
300,-101.95,-102.05,-101.95,-110.03,-100.88
302,-100.9,-101.02,-100.9,-104.41,-100.1
304,-100.24,-100.39,-100.24,-101.08,-99.64
306,-99.88,-99.64,-99.88,-98.79,-99.47
308,-99.79,-99.74,-99.79,-97.12,-99.55
310,-99.95,-99.94,-99.95,-95.88,-99.89
312,-100.37,-100.37,-100.37,-94.96,-100.48
314,-101.06,-101.04,-101.06,-94.31,-101.35
316,-102.04,-102.01,-102.04,-93.89,-102.55
318,-103.37,-103.33,-103.37,-93.68,-104.15
320,-105.15,-105.11,-105.15,-93.67,-106.3
322,-107.58,-107.5,-107.58,-93.88,-109.33
324,-111.09,-111.27,-111.09,-94.3,-114.06
326,-117.02,-116.67,-117.02,-94.97,-124.67
328,-135.43,-137.57,-135.43,-95.94,-122.47
330,-118.55,-118.53,-118.55,-97.28,-114.14
332,-112.82,-112.55,-112.82,-99.12,-110.37
334,-109.81,-109.89,-109.81,-101.72,-108.12
336,-107.97,-107.7,-107.97,-105.62,-106.68
338,-106.83,-106.67,-106.83,-111.29,-105.78
340,-106.19,-106.56,-106.19,-109.95,-105.29
342,-105.95,-105.98,-105.95,-104.43,-105.13
344,-106.07,-106.05,-106.07,-100.78,-105.26
346,-106.53,-106.49,-106.53,-98.28,-105.69
348,-107.35,-107.3,-107.35,-96.46,-106.4
350,-108.58,-108.5,-108.58,-95.12,-107.41
352,-110.32,-110.19,-110.32,-94.13,-108.77
354,-112.78,-112.48,-112.78,-93.42,-110.53
356,-116.42,-115.19,-116.42,-92.96,-112.83
358,-122.68,-125.27,-122.68,-92.73,-115.88
360,-134.19,-129.51,-134.19,-92.71,-120.21
362,-122.51,,,-92.91,-127.39
364,-117.61,,,-93.33,-137.88
366,-115.07,,,-94.01,-127.85
368,-113.69,,,-94.97,-124.37
370,-113.12,,,-96.27,-123.51
372,-113.21,,,-98,-124.58
374,-114,,,-100.24,-128.39
376,-115.67,,,-102.84,-138.16
378,-118.72,,,-104.4,-126.93
380,-125.14,,,-103,-120.2
382,-135.01,,,-100.29,-116.09
384,-120.71,,,-97.87,-113.2
386,-115.35,,,-95.97,-111.05
388,-112.1,,,-94.5,-109.43
390,-109.87,,,-93.38,-108.22
392,-108.29,,,-92.56,-107.38
394,-107.19,,,-91.98,-106.86
396,-106.49,,,-91.64,-106.66
398,-106.14,,,-91.51,-106.8
400,-106.15,,,-91.58,-107.32
