Angle_deg,Benchmark,Macaulay_FEM_TS,Gorska_dcyl_TS,Francis_Kirchhoff_TS,Reeder_FMM_TS,Francis_BEM_TS
0,-69.7,-63.57,,-62.67,-56.4,-69.19
2,-69.45,-63.37,-119.21,-62.92,-56.43,-68.97
4,-68.76,-62.82,-106.89,-62.94,-56.5,-68.32
6,-67.74,-61.99,-99.44,-62.74,-56.61,-67.37
8,-66.54,-61,-93.95,-62.8,-56.75,-66.23
10,-65.28,-59.95,-89.58,-62.72,-56.93,-65.04
12,-64.1,-58.93,-86.01,-62.52,-57.1,-63.92
14,-63.1,-58.05,-83.11,-62.39,-57.25,-62.96
16,-62.39,-57.4,-80.85,-62.32,-57.33,-62.28
18,-62.08,-57.09,-79.31,-62.3,-57.32,-62
20,-62.35,-57.26,-78.67,-62.33,-57.19,-62.27
22,-63.5,-58.12,-79.4,-62.38,-56.94,-63.42
24,-66.23,-60.01,-82.98,-62.45,-56.61,-66.12
26,-73.3,-63.37,-97.97,-62.45,-56.25,-73.06
28,-76.91,-65.46,-79.03,-62.21,-55.93,-77.26
30,-65.25,-60.96,-71.97,-61.59,-56.21,-65.35
32,-60.51,-56.9,-67.9,-60.66,-56.24,-60.57
34,-58.08,-54.57,-65.58,-59.72,-57.99,-58.11
36,-57.27,-53.76,-64.85,-59.12,-63.3,-57.29
38,-58.27,-54.66,-66.25,-59.09,-71.34,-58.27
40,-62.33,-58.31,-72.33,-59.62,-58.86,-62.32
42,-83.1,-70.32,-73.53,-60.01,-54.29,-83.29
44,-61.45,-59.16,-63.01,-58.99,-52.68,-61.48
46,-55.75,-53.16,-58.66,-57.02,-53.58,-55.76
48,-53.76,-51,-57.14,-55.61,-58.64,-53.76
50,-54.6,-51.57,-58.46,-55.4,-69.92,-54.58
52,-60.27,-56.18,-66.01,-56.25,-54.06,-60.21
54,-66.38,-68.14,-63.59,-56.3,-49.63,-66.54
56,-53.71,-52.64,-54.58,-53.98,-48.61,-53.75
58,-50,-48.42,-51.43,-51.82,-50.85,-50.01
60,-49.96,-48.02,-51.76,-51.23,-60.75,-49.96
62,-54.88,-52.09,-57.8,-51.98,-53.12,-54.85
64,-61.64,-63.6,-59.78,-51.49,-46.38,-61.7
66,-48.66,-48.09,-48.82,-48.59,-44.25,-48.69
68,-44.91,-43.84,-45.41,-46.49,-45.41,-44.92
70,-45.04,-43.56,-45.77,-46.11,-51.64,-45.04
72,-50.26,-47.92,-51.83,-46.19,-47.95,-50.23
74,-50.15,-50.91,-50.13,-43.85,-40.56,-50.14
76,-41.52,-41.35,-41.49,-40.75,-37.2,-41.53
78,-38.04,-37.41,-38.09,-38.96,-36.11,-38.05
80,-37.2,-36.14,-37.32,-38.15,-36.66,-37.21
82,-37.61,-35.94,-37.78,-36.32,-37.5,-37.61
84,-36.26,-34.43,-36.32,-32.98,-35.81,-36.24
86,-33.11,-31.67,-33.06,-29.99,-32.89,-33.1
88,-30.84,-29.62,-30.75,-28.15,-30.93,-30.82
90,-30.07,-28.9,-29.98,-27.54,-30.28,-30.06
