Angle_deg,Benchmark,Macaulay_FEM_TS,Francis_BEM_TS,Horne_KRM_TS
0,,-41.19,-40.58,-51.49
2,-61.23,-41.2,-40.6,-51.48
4,-59.7,-41.23,-40.65,-51.44
6,-58.73,-41.29,-40.73,-51.39
8,-58.02,-41.36,-40.84,-51.33
10,-57.46,-41.44,-40.97,-51.28
12,-57.01,-41.53,-41.13,-51.26
14,-56.64,-41.61,-41.31,-51.3
16,-56.44,-41.69,-41.5,-51.43
18,-56.27,-41.77,-41.7,-51.69
20,-56.28,-41.88,-41.93,-52.15
22,-56.51,-42.04,-42.19,-52.86
24,-57.04,-42.26,-42.49,-53.95
26,-57.99,-42.58,-42.86,-55.63
28,-59.67,-43.03,-43.3,-58.33
30,-62.62,-43.6,-43.81,-63.34
32,-68.9,-44.29,-44.39,-83.19
34,-79.87,-45.03,-44.99,-64.32
36,-64.07,-45.71,-45.53,-57.56
38,-58.48,-46.14,-45.9,-53.8
40,-55.09,-46.24,-46.03,-51.33
42,-52.83,-46.06,-45.95,-49.69
44,-51.36,-45.79,-45.78,-48.69
46,-50.58,-45.64,-45.69,-48.31
48,-50.49,-45.78,-45.81,-48.6
50,-51.25,-46.32,-46.27,-49.75
52,-53.21,-47.36,-47.13,-52.25
54,-57.62,-48.86,-48.37,-57.87
56,-75.47,-50.34,-49.6,-75.32
58,-58.59,-50.37,-49.74,-54.89
60,-51.72,-48.59,-48.33,-49.22
62,-48.13,-46.48,-46.43,-46.12
64,-46.08,-44.91,-44.9,-44.39
66,-45.16,-44.1,-44.08,-43.74
68,-45.36,-44.19,-44.1,-44.22
70,-47.04,-45.42,-45.21,-46.3
72,-51.76,-48.36,-47.86,-51.95
74,-74.21,-52.13,-51.12,-62.47
76,-48.75,-47.4,-47.2,-46.29
78,-42.06,-41.82,-41.84,-40.43
80,-38.18,-38.03,-38.07,-36.8
82,-35.54,-35.39,-35.43,-34.3
84,-33.71,-33.54,-33.57,-32.53
86,-32.49,-32.31,-32.33,-31.34
88,-31.79,-31.6,-31.61,-30.65
90,-31.56,-31.38,-31.38,-30.4
