Angle_deg,Benchmark,Macaulay_FEM_TS,Francis_BEM_TS
0,,-41.08,-40.41
2,-61.32,-41.1,-40.43
4,-59.73,-41.14,-40.48
6,-58.75,-41.2,-40.57
8,-58.03,-41.27,-40.68
10,-57.47,-41.36,-40.82
12,-57.02,-41.44,-40.98
14,-56.66,-41.52,-41.16
16,-56.4,-41.59,-41.35
18,-56.26,-41.66,-41.57
20,-56.28,-41.76,-41.8
22,-56.51,-41.9,-42.06
24,-57.04,-42.12,-42.36
26,-58,-42.44,-42.73
28,-59.67,-42.89,-43.16
30,-62.61,-43.49,-43.68
32,-68.89,-44.22,-44.27
34,-79.92,-45.01,-44.87
36,-64.07,-45.76,-45.43
38,-58.48,-46.25,-45.83
40,-55.09,-46.38,-45.99
42,-52.83,-46.18,-45.94
44,-51.36,-45.88,-45.79
46,-50.58,-45.69,-45.69
48,-50.49,-45.8,-45.79
50,-51.24,-46.33,-46.22
52,-53.22,-47.38,-47.04
54,-57.63,-48.94,-48.24
56,-75.47,-50.51,-49.44
58,-58.6,-50.56,-49.63
60,-51.72,-48.67,-48.29
62,-48.13,-46.48,-46.41
64,-46.09,-44.86,-44.89
66,-45.17,-44.04,-44.04
68,-45.36,-44.12,-44.03
70,-47.05,-45.37,-45.1
72,-51.78,-48.39,-47.68
74,-74.25,-52.48,-50.9
76,-48.49,-47.52,-47.18
78,-42.02,-41.81,-41.84
80,-38.15,-38,-38.06
82,-35.51,-35.35,-35.4
84,-33.68,-33.5,-33.54
86,-32.47,-32.27,-32.29
88,-31.77,-31.57,-31.57
90,-31.54,-31.35,-31.34
